date,adj_close,
04/12/2017,88.68,
04/11/2017,88.85,
04/10/2017,88.86,
04/07/2017,88.74,
04/06/2017,89.09,
04/05/2017,89.03,
04/04/2017,88.78,
04/03/2017,89.36,
03/31/2017,88.87,
03/30/2017,89.01,
03/29/2017,89.18,
03/28/2017,89.12,
03/27/2017,88.95,
03/24/2017,89.19,
03/23/2017,88.86,
03/22/2017,88.52,
03/21/2017,88.06,
03/20/2017,89.18,
03/17/2017,90.24,
03/16/2017,90.04,
03/15/2017,89.92,
03/14/2017,89.55,
03/13/2017,90.11,
03/10/2017,89.73,
03/09/2017,89.11,
03/08/2017,88.96,
03/07/2017,89.06,
03/06/2017,88.94,
03/03/2017,88.79,
03/02/2017,88.53,
03/01/2017,88.99,
02/28/2017,87.94,
02/27/2017,88,
02/24/2017,88.43,
02/23/2017,88.18,
02/22/2017,87.8,
02/21/2017,87.92,
02/17/2017,87.46,
02/16/2017,87.41,
02/15/2017,87.54,
02/14/2017,86.85,
02/13/2017,86.44,
02/10/2017,85.9,
02/09/2017,85.58,
02/08/2017,85.09,
02/07/2017,85.78,
02/06/2017,85.83,
02/03/2017,86.08,
02/02/2017,82.3,
02/01/2017,82.44,
01/31/2017,82.71,
01/30/2017,83.7,
01/27/2017,83.77,
01/26/2017,83.24,
01/25/2017,83.9,
01/24/2017,83.23,
01/23/2017,82.15,
01/20/2017,81.84,
01/19/2017,81.73,
01/18/2017,81.59,
01/17/2017,81.26,
01/13/2017,81.17,
01/12/2017,81.37,
01/11/2017,81.8,
01/10/2017,81.31,
01/09/2017,81.75,
01/06/2017,82.21,
01/05/2017,81.09,
01/04/2017,80.15,
01/03/2017,79.5,
12/30/2016,78.02,
12/29/2016,78.33,
12/28/2016,78.3,
12/27/2016,78.35,
12/23/2016,78.15,
12/22/2016,77.9,
12/21/2016,78.14,
12/20/2016,78.36,
12/19/2016,78.1,
12/16/2016,78.35,
12/15/2016,79.5,
12/14/2016,79.13,
12/13/2016,79.2,
12/12/2016,78.5,
12/09/2016,79.14,
12/08/2016,79.28,
12/07/2016,79.31,
12/06/2016,77.11,
12/05/2016,77.31,
12/02/2016,75.72,
12/01/2016,75.43,
11/30/2016,77.32,
11/29/2016,79.15,
11/28/2016,79.08,
11/25/2016,80.13,
11/23/2016,79.57,
11/22/2016,79.93,
11/21/2016,81.69,
11/18/2016,80.82,
11/17/2016,81.07,
11/16/2016,80.08,
11/15/2016,78.57,
11/14/2016,78.38,
11/11/2016,81.88,
11/10/2016,81.87,
11/09/2016,83.24,
11/08/2016,82.88,
11/07/2016,82.51,
11/04/2016,80.36,
11/03/2016,80.65,
11/02/2016,80.58,
11/01/2016,81.62,
10/31/2016,82.51,
10/28/2016,82.22,
10/27/2016,81.92,
10/26/2016,81.75,
10/25/2016,82.03,
10/24/2016,83.17,
10/21/2016,82.35,
10/20/2016,82.5,
10/19/2016,82.81,
10/18/2016,81.58,
10/17/2016,82.15,
10/14/2016,82.45,
10/13/2016,81.87,
10/12/2016,82.25,
10/11/2016,82.04,
10/10/2016,83.12,
10/07/2016,82.88,
10/06/2016,83.36,
10/05/2016,83.35,
10/04/2016,82.73,
10/03/2016,82.86,
09/30/2016,82.7,
09/29/2016,81.92,
09/28/2016,82.97,
09/27/2016,82.16,
09/26/2016,81.81,
09/23/2016,82.54,
09/22/2016,83.36,
09/21/2016,83.22,
09/20/2016,82.48,
09/19/2016,82.51,
09/16/2016,82.07,
09/15/2016,82.01,
09/14/2016,81.49,
09/13/2016,81.89,
09/12/2016,82.97,
09/09/2016,81.33,
09/08/2016,82.97,
09/07/2016,83.24,
09/06/2016,82.53,
09/02/2016,82,
09/01/2016,81.3,
08/31/2016,80.9,
08/30/2016,81.17,
08/29/2016,80.87,
08/26/2016,80.57,
08/25/2016,80.32,
08/24/2016,80.29,
08/23/2016,80.8,
08/22/2016,81.06,
08/19/2016,80.47,
08/18/2016,80.27,
08/17/2016,80.84,
08/16/2016,80.81,
08/15/2016,80.91,
08/12/2016,80.02,
08/11/2016,80.12,
08/10/2016,79.68,
08/09/2016,80.06,
08/08/2016,79.95,
08/05/2016,80.14,
08/04/2016,79.48,
08/03/2016,78.71,
08/02/2016,78.28,
08/01/2016,78.26,
07/29/2016,78.05,
07/28/2016,79.19,
07/27/2016,78.53,
07/26/2016,78.49,
07/25/2016,78.94,
07/22/2016,79.91,
07/21/2016,78.79,
07/20/2016,79.36,
07/19/2016,78.72,
07/18/2016,78.31,
07/15/2016,78.3,
07/14/2016,78.14,
07/13/2016,77.46,
07/12/2016,77.48,
07/11/2016,76.52,
07/08/2016,76.42,
07/07/2016,74.51,
07/06/2016,74.06,
07/05/2016,74.67,
07/01/2016,74.48,
06/30/2016,74.17,
06/29/2016,76.74,
06/28/2016,75.16,
06/27/2016,73.34,
06/24/2016,75.05,
06/23/2016,78.23,
06/22/2016,76.53,
06/21/2016,77.33,
06/20/2016,77.34,
06/17/2016,76.99,
06/16/2016,78.35,
06/15/2016,78.17,
06/14/2016,78.57,
06/13/2016,78.4,
06/10/2016,80.18,
06/09/2016,81.26,
06/08/2016,81.65,
06/07/2016,80.6,
06/06/2016,80.54,
06/03/2016,79.94,
06/02/2016,79.95,
06/01/2016,79.22,
05/31/2016,78.94,
05/27/2016,79.66,
05/26/2016,79,
05/25/2016,79.06,
05/24/2016,79.38,
05/23/2016,77.21,
05/20/2016,77.67,
05/19/2016,76.88,
05/18/2016,77.43,
05/17/2016,76.79,
05/16/2016,77.8,
05/13/2016,76.83,
05/12/2016,77.89,
05/11/2016,77.3,
05/10/2016,79.2,
05/09/2016,78.22,
05/06/2016,77.72,
05/05/2016,77.36,
05/04/2016,77.07,
05/03/2016,77.19,
05/02/2016,78.46,
04/29/2016,77.24,
04/28/2016,77.68,
04/27/2016,78.76,
04/26/2016,78.53,
04/25/2016,78.14,
04/22/2016,79.11,
04/21/2016,80.79,
04/20/2016,81.15,
04/19/2016,80.75,
04/18/2016,81.45,
04/15/2016,80.08,
04/14/2016,80.33,
04/13/2016,79.71,
04/12/2016,78.52,
04/11/2016,77.82,
04/08/2016,78.03,
04/07/2016,77.58,
04/06/2016,78.21,
04/05/2016,76.97,
04/04/2016,77.83,
04/01/2016,77.59,
03/31/2016,76.48,
03/30/2016,76.78,
03/29/2016,75.38,
03/28/2016,74.08,
03/24/2016,74.14,
03/23/2016,73.91,
03/22/2016,72.96,
03/21/2016,73.77,
03/18/2016,73.78,
03/17/2016,73.14,
03/16/2016,72.37,
03/15/2016,71.91,
03/14/2016,71.49,
03/11/2016,71.63,
03/10/2016,70.22,
03/09/2016,70.68,
03/08/2016,70.62,
03/07/2016,71.94,
03/04/2016,73.9,
03/03/2016,73.91,
03/02/2016,74.3,
03/01/2016,74.64,
02/29/2016,72.39,
02/26/2016,72.73,
02/25/2016,73.27,
02/24/2016,71.85,
02/23/2016,72.15,
02/22/2016,73.06,
02/19/2016,71.53,
02/18/2016,71.24,
02/17/2016,72.03,
02/16/2016,71.1,
02/12/2016,70.42,
02/11/2016,68.47,
02/10/2016,70.15,
02/09/2016,68.33,
02/08/2016,67.77,
02/05/2016,71.54,
02/04/2016,73.68,
02/03/2016,74.38,
02/02/2016,73.4,
02/01/2016,74.38,
01/29/2016,74.49,
01/28/2016,69.33,
01/27/2016,70.91,
01/26/2016,71.88,
