date,adj_close,,
11/08/2021,349.67,,
11/05/2021,348.79,,
11/04/2021,335.43,,
11/03/2021,329.43,,
11/02/2021,328.48,,
11/01/2021,334.05,,
10/29/2021,335.52,,
10/28/2021,333.03,,
10/27/2021,335.72,,
10/26/2021,357.32,,
10/25/2021,360.86,,
10/22/2021,358.67,,
10/21/2021,356.21,,
10/20/2021,356.77,,
10/19/2021,362.1,,
10/18/2021,358.44,,
10/15/2021,356,,
10/14/2021,344.58,,
10/13/2021,342.35,,
10/12/2021,345.34,,
10/11/2021,347.15,,
10/08/2021,354.96,,
10/07/2021,353.91,,
10/06/2021,348.69,,
10/05/2021,343.21,,
10/04/2021,344.2,,
10/01/2021,360.18,,
09/30/2021,347.68,,
09/29/2021,353.19,,
09/28/2021,351.18,,
09/27/2021,356.77,,
09/24/2021,358.16,,
09/23/2021,354.07,,
09/22/2021,343.41,,
09/21/2021,337.38,,
09/20/2021,339.69,,
09/17/2021,343.04,,
09/16/2021,346.31,,
09/15/2021,344.75,,
09/14/2021,345.8,,
09/13/2021,347.82,,
09/10/2021,347.39,,
09/09/2021,351.41,,
09/08/2021,351.04,,
09/07/2021,344.71,,
09/03/2021,340.23,,
09/02/2021,341.28,,
09/01/2021,349.57,,
08/31/2021,346.23,,
08/30/2021,353.05,,
08/27/2021,355.73,,
08/26/2021,352.86,,
08/25/2021,359.1,,
08/24/2021,361.78,,
08/23/2021,361.01,,
08/20/2021,354.99,,
08/19/2021,357.31,,
08/18/2021,360.95,,
08/17/2021,363.23,,
08/16/2021,363.56,,
08/13/2021,362.75,,
08/12/2021,361.98,,
08/11/2021,364.24,,
08/10/2021,367.84,,
08/09/2021,370.68,,
08/06/2021,374.53,,
08/05/2021,371.94,,
08/04/2021,368.01,,
08/03/2021,367.6,,
08/02/2021,375.26,,
07/30/2021,385.94,,
07/29/2021,388.81,,
07/28/2021,383.44,,
07/27/2021,390.27,,
07/26/2021,392.8,,
07/23/2021,393.26,,
07/22/2021,382.16,,
07/21/2021,380.06,,
07/20/2021,374.39,,
07/19/2021,365.45,,
07/16/2021,387.12,,
07/15/2021,390.23,,
07/14/2021,390.8,,
07/13/2021,383.71,,
07/12/2021,375.56,,
07/09/2021,372.94,,
07/08/2021,370.19,,
07/07/2021,373.92,,
07/06/2021,376.12,,
07/02/2021,375.03,,
07/01/2021,370.71,,
06/30/2021,365.09,,
06/29/2021,368,,
06/28/2021,367.68,,
06/25/2021,379.61,,
06/24/2021,374.75,,
06/23/2021,375.14,,
06/22/2021,378.04,,
06/21/2021,373.09,,
06/18/2021,367.42,,
06/17/2021,367.29,,
06/16/2021,363.82,,
06/15/2021,368.12,,
06/14/2021,366.52,,
06/11/2021,365.5,,
06/10/2021,364.3,,
06/09/2021,363.33,,
06/08/2021,365.26,,
06/07/2021,364.08,,
06/04/2021,366.02,,
06/03/2021,361.82,,
06/02/2021,366.85,,
06/01/2021,359.79,,
05/28/2021,360.58,,
05/27/2021,362,,
05/26/2021,362.65,,
05/25/2021,367.22,,
05/24/2021,372.38,,
05/21/2021,367.6,,
05/20/2021,367.7,,
05/19/2021,360.98,,
05/18/2021,363.07,,
05/17/2021,363.3,,
05/14/2021,363.91,,
05/13/2021,360.02,,
05/12/2021,356.62,,
05/11/2021,367.61,,
05/10/2021,366.34,,
05/07/2021,375.4,,
05/06/2021,375.48,,
05/05/2021,369.14,,
05/04/2021,375.91,,
05/03/2021,379.4,,
04/30/2021,382.06,,
04/29/2021,388.95,,
04/28/2021,395.65,,
04/27/2021,389.07,,
04/26/2021,387.47,,
04/23/2021,387.06,,
04/22/2021,383.36,,
04/21/2021,383.1,,
04/20/2021,376.63,,
04/19/2021,382.16,,
04/16/2021,386.17,,
04/15/2021,386.49,,
04/14/2021,378.32,,
04/13/2021,378.13,,
04/12/2021,379.84,,
04/09/2021,380.08,,
04/08/2021,377.74,,
04/07/2021,371.08,,
04/06/2021,369.57,,
04/05/2021,368.32,,
04/01/2021,363.3,,
03/31/2021,356.05,,
03/30/2021,358.2,,
03/29/2021,362.91,,
03/26/2021,366.14,,
03/25/2021,358.36,,
03/24/2021,359.65,,
03/23/2021,355.27,,
03/22/2021,358.4,,
03/19/2021,356.51,,
03/18/2021,367,,
03/17/2021,378.68,,
03/16/2021,382.38,,
03/15/2021,381.76,,
03/12/2021,382.71,,
03/11/2021,384.38,,
03/10/2021,381.7,,
03/09/2021,376.52,,
03/08/2021,371.33,,
03/05/2021,360.88,,
03/04/2021,349.5,,
03/03/2021,360.25,,
03/02/2021,362.82,,
03/01/2021,362.9,,
02/26/2021,353.85,,
02/25/2021,354.57,,
02/24/2021,367.32,,
02/23/2021,350.42,,
02/22/2021,340.66,,
02/19/2021,333.17,,
02/18/2021,338.46,,
02/17/2021,337.33,,
02/16/2021,341.21,,
02/12/2021,341,,
02/11/2021,342.87,,
02/10/2021,334.21,,
02/09/2021,333.44,,
02/08/2021,337.03,,
02/05/2021,338.75,,
02/04/2021,340.83,,
02/03/2021,332.82,,
02/02/2021,334.37,,
02/01/2021,321.56,,
01/29/2021,316.29,,
01/28/2021,324.28,,
01/27/2021,315.49,,
01/26/2021,327.7,,
01/25/2021,329.19,,
01/22/2021,328.99,,
01/21/2021,334.44,,
01/20/2021,334.91,,
01/19/2021,325.94,,
01/15/2021,323.26,,
01/14/2021,326.93,,
01/13/2021,346.33,,
01/12/2021,342.92,,
01/11/2021,348.2,,
01/08/2021,353.85,,
01/07/2021,349.86,,
01/06/2021,347.55,,
01/05/2021,347.42,,
01/04/2021,351.49,,
12/31/2020,356.94,,
12/30/2020,355.55,,
12/29/2020,346.66,,
12/28/2020,344.47,,
12/24/2020,336,,
12/23/2020,329.23,,
12/22/2020,332.24,,
12/21/2020,334.37,,
12/18/2020,340.33,,
12/17/2020,336.9,,
12/16/2020,332.1,,
12/15/2020,333.65,,
12/14/2020,331.15,,
12/11/2020,327.42,,
12/10/2020,331.52,,
12/09/2020,336.85,,
12/08/2020,340.79,,
12/07/2020,340.96,,
12/04/2020,344.35,,
12/03/2020,335.14,,
12/02/2020,340.22,,
12/01/2020,338.88,,
11/30/2020,336.51,,
11/27/2020,339.07,,
11/25/2020,341.32,,
11/24/2020,342.39,,
11/23/2020,332.04,,
11/20/2020,323,,
11/19/2020,333.88,,
11/18/2020,335.94,,
11/17/2020,336.5,,
11/16/2020,335.45,,
11/13/2020,335.03,,
11/12/2020,328.29,,
11/11/2020,332.39,,
11/10/2020,334.78,,
11/09/2020,344.56,,
11/06/2020,313.64,,
11/05/2020,316.53,,
11/04/2020,307.2,,
11/03/2020,295.39,,
11/02/2020,289.97,,
10/30/2020,288.64,,
10/29/2020,293.18,,
10/28/2020,291.38,,
10/27/2020,317.11,,
10/26/2020,318.06,,
10/23/2020,329.61,,
10/22/2020,333.6,,
10/21/2020,333.42,,
10/20/2020,331.72,,
10/19/2020,331.67,,
10/16/2020,339.4,,
10/15/2020,338.57,,
10/14/2020,342.7,,
10/13/2020,345.84,,
10/12/2020,352.04,,
10/09/2020,352.39,,
10/08/2020,345.15,,
10/07/2020,343.9,,
10/06/2020,337.43,,
10/05/2020,343.25,,
10/02/2020,338.83,,
10/01/2020,343.37,,
09/30/2020,338.17,,
09/29/2020,336.23,,
09/28/2020,338.39,,
09/25/2020,331.78,,
09/24/2020,328.21,,
09/23/2020,324.53,,
09/22/2020,335.31,,
09/21/2020,327.85,,
09/18/2020,335.26,,
09/17/2020,339.43,,
09/16/2020,341.85,,
09/15/2020,339.14,,
09/14/2020,338.6,,
09/11/2020,330.15,,
09/10/2020,332.88,,
09/09/2020,339.64,,
09/08/2020,329.88,,
09/04/2020,335.01,,
09/03/2020,343.84,,
09/02/2020,360.7,,
09/01/2020,356.9,,
08/31/2020,358.19,,
08/28/2020,366.12,,
08/27/2020,356,,
08/26/2020,351.02,,
08/25/2020,347.66,,
08/24/2020,343.64,,
08/21/2020,337.1,,
08/20/2020,337.32,,
08/19/2020,332.4,,
08/18/2020,331,,
08/17/2020,330.23,,
08/14/2020,326.8,,
08/13/2020,326.19,,
08/12/2020,327.63,,
08/11/2020,328.54,,
08/10/2020,322.88,,
08/07/2020,328.02,,
08/06/2020,330.14,,
08/05/2020,328,,
08/04/2020,314.39,,
08/03/2020,312.59,,
07/31/2020,308.53,,
07/30/2020,309,,
07/29/2020,309.3,,
07/28/2020,306.33,,
07/27/2020,308.86,,
07/24/2020,306.92,,
07/23/2020,309.9,,
07/22/2020,313.37,,
07/21/2020,307.6,,
07/20/2020,311.96,,
07/17/2020,304.06,,
07/16/2020,299.35,,
07/15/2020,305.72,,
07/14/2020,298.95,,
07/13/2020,290.18,,
07/10/2020,295.68,,
07/09/2020,294.59,,
07/08/2020,300.15,,
07/07/2020,299.91,,
07/06/2020,305.57,,
07/02/2020,302.42,,
07/01/2020,301.17,,
06/30/2020,295.7,,
06/29/2020,292.93,,
06/26/2020,289.34,,
06/25/2020,298.01,,
06/24/2020,294.01,,
06/23/2020,306.88,,
06/22/2020,304.44,,
06/19/2020,296.5,,
06/18/2020,304.85,,
06/17/2020,303.76,,
06/16/2020,304.48,,
06/15/2020,297.17,,
06/12/2020,297.79,,
06/11/2020,291.25,,
06/10/2020,313.15,,
06/09/2020,311.49,,
06/08/2020,310.41,,
06/05/2020,311.88,,
06/04/2020,301.37,,
06/03/2020,307.07,,
06/02/2020,303.59,,
06/01/2020,301.4,,
05/29/2020,300.89,,
05/28/2020,302.3,,
05/27/2020,299.77,,
05/26/2020,303.33,,
05/22/2020,294.91,,
05/21/2020,294.26,,
05/20/2020,298.8,,
05/19/2020,290.73,,
05/18/2020,289.9,,
05/15/2020,278.94,,
05/14/2020,277.31,,
05/13/2020,269.16,,
05/12/2020,272.11,,
05/11/2020,281.23,,
05/08/2020,282.44,,
05/07/2020,278.47,,
05/06/2020,272.44,,
05/05/2020,273.98,,
05/04/2020,269.26,,
05/01/2020,268.74,,
04/30/2020,274.97,,
04/29/2020,283.69,,
04/28/2020,264.6,,
04/27/2020,265.12,,
04/24/2020,258.76,,
04/23/2020,255.86,,
04/22/2020,256.91,,
04/21/2020,245.35,,
04/20/2020,251.73,,
04/17/2020,259.97,,
04/16/2020,246.76,,
04/15/2020,257.14,,
04/14/2020,270.72,,
04/13/2020,263.34,,
04/09/2020,269.4,,
04/08/2020,270.95,,
04/07/2020,259.08,,
04/06/2020,265.94,,
04/03/2020,237.03,,
04/02/2020,238.88,,
04/01/2020,228.61,,
03/31/2020,241.56,,
03/30/2020,253.25,,
03/27/2020,247.65,,
03/26/2020,263.18,,
03/25/2020,256.48,,
03/24/2020,237.07,,
03/23/2020,203.3,,
03/20/2020,211.42,,
03/19/2020,227.15,,
03/18/2020,227.93,,
03/17/2020,237.88,,
03/16/2020,235.65,,
03/13/2020,270.01,,
03/12/2020,241.5,,
03/11/2020,269.76,,
03/10/2020,280.57,,
03/09/2020,262.01,,
03/06/2020,287.01,,
03/05/2020,290.73,,
03/04/2020,302.36,,
03/03/2020,292,,
03/02/2020,306.74,,
02/28/2020,290.25,,
02/27/2020,285.82,,
02/26/2020,298.04,,
02/25/2020,302.89,,
02/24/2020,324.67,,
02/21/2020,339.7,,
02/20/2020,344.45,,
02/19/2020,344.56,,
02/18/2020,341.24,,
02/14/2020,340.95,,
02/13/2020,335.84,,
02/12/2020,334.16,,
02/11/2020,330.92,,
02/10/2020,330.28,,
02/07/2020,327,,
02/06/2020,329.3,,
02/05/2020,328.32,,
02/04/2020,329.12,,
02/03/2020,324.52,,
01/31/2020,315.94,,
01/30/2020,324.46,,
01/29/2020,320.32,,
01/28/2020,320.27,,
01/27/2020,315.77,,
01/24/2020,323.67,,
01/23/2020,324.98,,
01/22/2020,324.31,,
01/21/2020,321.93,,
01/17/2020,323.66,,
01/16/2020,320.3,,
01/15/2020,314.25,,
01/14/2020,310.64,,
01/13/2020,315.21,,
01/10/2020,311.17,,
01/09/2020,309.1,,
01/08/2020,305.1,,
01/07/2020,300.21,,
01/06/2020,301.23,,
01/03/2020,300.43,,
01/02/2020,303.39,,
12/31/2019,298.59,,
12/30/2019,297.72,,
12/27/2019,300.74,,
12/26/2019,299.2,,
12/24/2019,297.48,,
12/23/2019,297.27,,
12/20/2019,298.57,,
12/19/2019,297.53,,
12/18/2019,294.74,,
12/17/2019,296,,
12/16/2019,296.96,,
12/13/2019,296.09,,
12/12/2019,292.21,,
12/11/2019,290.05,,
12/10/2019,288.61,,
12/09/2019,289.06,,
12/06/2019,290.4,,
12/05/2019,289.85,,
12/04/2019,286.84,,
12/03/2019,287.09,,
12/02/2019,286.47,,
11/29/2019,292.23,,
11/27/2019,291.7,,
11/26/2019,289.38,,
11/25/2019,287.61,,
11/22/2019,282.57,,
11/21/2019,284.45,,
11/20/2019,285.38,,
11/19/2019,285.31,,
11/18/2019,280.86,,
11/15/2019,280.78,,
11/14/2019,279.63,,
11/13/2019,278.07,,
11/12/2019,277.14,,
11/11/2019,277,,
11/08/2019,274.89,,
11/07/2019,272.79,,
11/06/2019,269.86,,
11/05/2019,269,,
11/04/2019,276.33,,
11/01/2019,279.05,,
10/31/2019,276.81,,
10/30/2019,277.15,,
10/29/2019,274.29,,
10/28/2019,275.93,,
10/25/2019,270.19,,
10/24/2019,268.75,,
10/23/2019,260.85,,
10/22/2019,261.26,,
10/21/2019,274.3,,
10/18/2019,270.63,,
10/17/2019,276.51,,
10/16/2019,278.27,,
10/15/2019,278.56,,
10/14/2019,276.38,,
10/11/2019,275.91,,
10/10/2019,273.83,,
10/09/2019,272.24,,
10/08/2019,267.07,,
10/07/2019,272.19,,
10/04/2019,274.06,,
10/03/2019,268.29,,
10/02/2019,264.48,,
10/01/2019,270.94,,
09/30/2019,271.57,,
09/27/2019,269.13,,
09/26/2019,273.89,,
09/25/2019,272.75,,
09/24/2019,271.12,,
09/23/2019,273.15,,
09/20/2019,271.17,,
09/19/2019,275.91,,
09/18/2019,275.1,,
09/17/2019,276.25,,
09/16/2019,274.08,,
09/13/2019,276.32,,
09/12/2019,276.4,,
09/11/2019,269.95,,
09/10/2019,272.33,,
09/09/2019,283.36,,
09/06/2019,291.38,,
09/05/2019,292.08,,
09/04/2019,286.1,,
09/03/2019,280.11,,
08/30/2019,281.37,,
08/29/2019,281.38,,
08/28/2019,278.24,,
08/27/2019,276.64,,
08/26/2019,276.43,,
08/23/2019,271.89,,
08/22/2019,280.77,,
08/21/2019,282.01,,
08/20/2019,277.04,,
08/19/2019,278.07,,
08/16/2019,274.36,,
